unix,date,symbol,open,high,low,close,Volume_ETH,Volume_USD,Average_Price,Return_Ratio
1533866400,10-08-2018 02:00,ETH/USD,361.57,361.89,358.44,359.41,715.21,257324.83,360.3275,0.491460117
1533870000,10-08-2018 03:00,ETH/USD,359.41,360.99,359.34,360.33,144.45,52089.67,360.0175,0.4910373
1533873600,10-08-2018 04:00,ETH/USD,360.33,360.69,357.5,360.69,1039.82,372618.8,359.8025,0.490744056
1533877200,10-08-2018 05:00,ETH/USD,360.69,361.03,358.45,359.58,145.96,52481.81,359.9375,0.490928186
1533880800,10-08-2018 06:00,ETH/USD,359.58,361.87,359.51,360.25,297.97,107455.39,360.3025,0.491426019
1533884400,10-08-2018 07:00,ETH/USD,360.25,361.99,358.58,361.22,262.22,94413.12,360.51,0.491709034
1533888000,10-08-2018 08:00,ETH/USD,361.22,362.01,350,358.5,1704.82,609666.91,357.9325,0.488193514
1533891600,10-08-2018 09:00,ETH/USD,358.5,358.59,355.03,357.29,679.57,242480.71,357.3525,0.487402437
1533895200,10-08-2018 10:00,ETH/USD,357.29,359.53,356.94,357.97,805.8,288915.55,357.9325,0.488193514
1533898800,10-08-2018 11:00,ETH/USD,357.97,359.13,355.83,357.1,230.85,82580.25,357.5075,0.487613845
1533902400,10-08-2018 12:00,ETH/USD,357.1,364.19,356.72,362.2,1268.05,458814.28,360.0525,0.491085037
1533906000,10-08-2018 13:00,ETH/USD,362.2,362.97,360.38,361.85,807.54,291959.58,361.85,0.493536695
1533909600,10-08-2018 14:00,ETH/USD,361.85,362.08,358.36,359.5,658.02,236664.81,360.4475,0.491623788
1533913200,10-08-2018 15:00,ETH/USD,359.5,361.09,357.81,360.57,1028.25,369305.84,359.7425,0.49066222
1533916800,10-08-2018 16:00,ETH/USD,360.57,360.57,356.92,357.17,627.96,225346.52,358.8075,0.489386949
1533920400,10-08-2018 17:00,ETH/USD,357.17,358.48,355.63,357.66,352.86,125862.25,357.235,0.487242175
1533924000,10-08-2018 18:00,ETH/USD,357.66,357.99,355.82,356.22,424.48,151421.32,356.9225,0.486815948
1533927600,10-08-2018 19:00,ETH/USD,356.22,356.83,353.92,355.38,650.28,231028.61,355.5875,0.484995107
1533931200,10-08-2018 20:00,ETH/USD,355.38,356.24,341.94,342.6,2299.15,794647.63,349.04,0.4760648
1533934800,10-08-2018 21:00,ETH/USD,342.6,342.95,326,326.82,4566.58,1522819.77,334.5925,0.456359476
1533938400,10-08-2018 22:00,ETH/USD,326.82,329.99,326.35,328.3,428.28,140711.19,327.865,0.447183663
1533942000,10-08-2018 23:00,ETH/USD,328.3,332.6,327.68,331.63,1192.07,394414.75,330.0525,0.450167251
1533945600,11-08-2018 00:00,ETH/USD,331.63,332.84,325.7,328.38,386.97,127551.86,329.6375,0.449601222
1533949200,11-08-2018 01:00,ETH/USD,328.38,328.83,324.5,326.24,523.32,170695.3,326.9875,0.445986818
1533952800,11-08-2018 02:00,ETH/USD,326.24,326.24,320.15,324.79,525.98,170011.63,324.355,0.442396282
1533956400,11-08-2018 03:00,ETH/USD,324.79,325.23,316.32,318.87,608.07,193959.26,321.3025,0.438232897
1533960000,11-08-2018 04:00,ETH/USD,318.87,321.77,317.59,317.87,1921.95,615652.04,319.025,0.435126555
1533963600,11-08-2018 05:00,ETH/USD,317.87,318.74,311.64,315.25,1345.63,423102.79,315.875,0.430830188
1533967200,11-08-2018 06:00,ETH/USD,315.25,316.82,312.76,313.57,203.25,64122.12,314.6,0.429091182
1533970800,11-08-2018 07:00,ETH/USD,313.57,317.5,312.8,316.92,1297.37,410527.48,315.1975,0.429906128
1533974400,11-08-2018 08:00,ETH/USD,316.92,320.02,316.2,317.25,3166.92,1007608.89,317.5975,0.433179551
1533978000,11-08-2018 09:00,ETH/USD,317.25,318.36,315,316.21,113.11,35808.16,316.705,0.431962247
1533981600,11-08-2018 10:00,ETH/USD,316.21,318.65,316.2,317.03,325.2,103243.41,317.0225,0.432395293
1533985200,11-08-2018 11:00,ETH/USD,317.03,317.4,312.89,315.04,466.06,146974.48,315.59,0.430441469
1533988800,11-08-2018 12:00,ETH/USD,315.04,315.04,305.23,308.61,1450.96,447991.76,310.98,0.424153769
1533992400,11-08-2018 13:00,ETH/USD,308.61,309.43,306.15,307.47,982.88,302150.87,307.915,0.419973335
1533996000,11-08-2018 14:00,ETH/USD,307.47,314.49,306.48,312.09,1444.16,448428.21,310.1325,0.422997842
1533999600,11-08-2018 15:00,ETH/USD,312.09,313.15,308.89,308.89,799.82,248383.13,310.755,0.423846886
1534003200,11-08-2018 16:00,ETH/USD,308.89,310.26,305.2,306.69,1327.62,408127.68,307.76,0.419761927
1534006800,11-08-2018 17:00,ETH/USD,306.69,327.9,306.69,326.1,5417.69,1736358.18,316.845,0.432153196
1534010400,11-08-2018 18:00,ETH/USD,326.1,329.48,320.85,323.11,1160.29,376606.37,324.885,0.443119163
1534014000,11-08-2018 19:00,ETH/USD,323.11,323.89,319.33,323.15,494.81,158836.59,322.37,0.439688888
1534017600,11-08-2018 20:00,ETH/USD,323.15,325.78,322.77,325.77,334.66,108324.54,324.3675,0.442413331
1534021200,11-08-2018 21:00,ETH/USD,325.77,325.77,323.93,324.74,141.69,46040.87,325.0525,0.44334762
1534024800,11-08-2018 22:00,ETH/USD,324.74,328.5,324.74,327.54,282.93,92594.62,326.38,0.445158232
1534028400,11-08-2018 23:00,ETH/USD,327.54,331.23,317.5,317.5,4263.18,1379518.51,323.4425,0.441151699
1534032000,12-08-2018 00:00,ETH/USD,317.5,322.5,314.01,320.92,2147.92,684246.46,318.7325,0.434727607
1534035600,12-08-2018 01:00,ETH/USD,320.92,321.26,318,319.86,924.88,294464.61,320.01,0.436470023
1534039200,12-08-2018 02:00,ETH/USD,319.86,323.34,319.86,321.85,465.61,149859.26,321.2275,0.438130603
1534042800,12-08-2018 03:00,ETH/USD,321.85,323.93,321.73,322.24,587.72,189568.62,322.4375,0.439780953
1534046400,12-08-2018 04:00,ETH/USD,322.24,322.5,320.52,321.02,285.39,91774.65,321.57,0.438597747
1534050000,12-08-2018 05:00,ETH/USD,321.02,327.37,321.02,326.37,715.59,233311.73,323.945,0.441837072
1534053600,12-08-2018 06:00,ETH/USD,326.37,327.54,324.84,326.57,256.22,83510.51,326.33,0.445090036
1534057200,12-08-2018 07:00,ETH/USD,326.57,326.84,323.92,325.32,168.19,54646.39,325.6625,0.444179615
1534060800,12-08-2018 08:00,ETH/USD,325.32,325.61,322.1,323.35,210.96,68278.57,324.095,0.442041661
1534064400,12-08-2018 09:00,ETH/USD,323.35,323.54,320.76,322.15,226.31,72860.22,322.45,0.439798003
1534068000,12-08-2018 10:00,ETH/USD,322.15,322.9,320.69,322.5,362.14,116736.75,322.06,0.439266071
1534071600,12-08-2018 11:00,ETH/USD,322.5,322.83,319.7,322.39,146.45,47019.25,321.855,0.438986466
1534075200,12-08-2018 12:00,ETH/USD,322.39,322.63,315.28,317.06,2009.27,639142.15,319.34,0.435556192
1534078800,12-08-2018 13:00,ETH/USD,317.06,319.83,316.68,319.15,534.27,169974.96,318.18,0.433974038
1534082400,12-08-2018 14:00,ETH/USD,319.15,322.03,319.15,319.67,371.83,119207.89,320,0.436456383
1534086000,12-08-2018 15:00,ETH/USD,319.67,323.77,319.02,322.12,432,139066.46,321.145,0.438018079
1534089600,12-08-2018 16:00,ETH/USD,322.12,324.52,320.05,321.93,562.22,181568.62,322.155,0.439395644
1534093200,12-08-2018 17:00,ETH/USD,321.93,323.22,319.67,320.51,349.69,112709.35,321.3325,0.438273815
1534096800,12-08-2018 18:00,ETH/USD,320.51,320.96,319.43,320.71,129.41,41478.03,320.4025,0.437005364
1534100400,12-08-2018 19:00,ETH/USD,320.71,328.69,316.24,320.68,3852.64,1241058.39,321.58,0.438611387
1534104000,12-08-2018 20:00,ETH/USD,320.68,321.17,318.44,319.87,258.09,82557.64,320.04,0.43651094
1534107600,12-08-2018 21:00,ETH/USD,319.87,320.65,317.8,320.6,241.18,76929.53,319.73,0.436088123
1534111200,12-08-2018 22:00,ETH/USD,320.6,321.76,318.57,319.34,200.56,64080.44,320.0675,0.436548448
1534114800,12-08-2018 23:00,ETH/USD,319.34,319.4,317,318.08,359,114176.73,318.455,0.434349117
1534118400,13-08-2018 00:00,ETH/USD,318.08,319.97,318.08,319.31,63.43,20232.44,318.86,0.434901507
1534122000,13-08-2018 01:00,ETH/USD,319.31,319.86,318.41,319,123.1,39288.47,319.145,0.435290226
1534125600,13-08-2018 02:00,ETH/USD,319,319.51,317.91,319.5,402.8,128493.84,318.98,0.435065179
1534129200,13-08-2018 03:00,ETH/USD,319.5,320.68,319.09,319.6,323.95,103582.64,319.7175,0.436071074
1534132800,13-08-2018 04:00,ETH/USD,319.6,320.76,317.89,318.17,848.79,270602.24,319.105,0.435235669
1534136400,13-08-2018 05:00,ETH/USD,318.17,318.82,313.3,314.73,819.88,258820.32,316.255,0.43134848
1534140000,13-08-2018 06:00,ETH/USD,314.73,319,314.2,316.21,1971.22,623753.3,316.035,0.431048416
1534143600,13-08-2018 07:00,ETH/USD,316.21,317.41,315.44,317.05,1017.81,321779.67,316.5275,0.43172015
1534147200,13-08-2018 08:00,ETH/USD,317.05,321.86,317.05,318.57,1190.06,379782.17,318.6325,0.434591214
1534150800,13-08-2018 09:00,ETH/USD,318.57,320.53,318.4,319.54,2375.88,760045.11,319.26,0.435447078
1534154400,13-08-2018 10:00,ETH/USD,319.54,319.98,318.4,319.74,1304.27,416155.41,319.415,0.435658487
1534158000,13-08-2018 11:00,ETH/USD,319.74,320.56,318.21,318.77,2033.53,650410.88,319.32,0.435528914
1534161600,13-08-2018 12:00,ETH/USD,318.77,320.01,318.36,319.11,648.06,206848.79,319.0625,0.435177703
1534165200,13-08-2018 13:00,ETH/USD,319.11,320.19,316.98,317.72,1589.72,506647.94,318.5,0.434410494
1534168800,13-08-2018 14:00,ETH/USD,317.72,318.05,314.66,315.44,483.31,152759.65,316.4675,0.431638314
1534172400,13-08-2018 15:00,ETH/USD,315.44,315.44,298.07,300.29,4110.86,1250027,307.31,0.41914816
1534176000,13-08-2018 16:00,ETH/USD,300.29,302.83,292,294.66,2542.93,757196.34,297.445,0.405693028
1534179600,13-08-2018 17:00,ETH/USD,294.66,294.66,284.73,288.72,7372.65,2121910.12,290.6925,0.396483116
1534183200,13-08-2018 18:00,ETH/USD,288.72,292,286.45,289.2,2646.69,767090.01,289.0925,0.394300834
1534186800,13-08-2018 19:00,ETH/USD,289.2,289.96,284.69,289.45,1008.57,289628.24,288.325,0.393254021
1534190400,13-08-2018 20:00,ETH/USD,289.45,290.42,287.64,288.83,465.76,134601.21,289.085,0.394290605
1534194000,13-08-2018 21:00,ETH/USD,288.83,288.83,286.77,287.44,664.54,190887.44,287.9675,0.392766417
1534197600,13-08-2018 22:00,ETH/USD,287.44,287.87,281.07,284.29,726.71,206484.81,285.1675,0.388947424
1534201200,13-08-2018 23:00,ETH/USD,284.29,285.39,283.07,283.95,642.01,182328.75,284.175,0.387593727
1534204800,14-08-2018 00:00,ETH/USD,283.95,283.96,270,271.19,6118.23,1676903.64,277.275,0.378182637
1534208400,14-08-2018 01:00,ETH/USD,271.19,272.2,256.32,256.68,12603.53,3304246.95,264.0975,0.360209499
1534212000,14-08-2018 02:00,ETH/USD,256.68,267.45,250.54,262.27,11502.26,2974606.52,259.235,0.353577408
1534215600,14-08-2018 03:00,ETH/USD,262.27,268.89,259.31,267.65,5573.9,1479093.51,264.53,0.360799397
1534219200,14-08-2018 04:00,ETH/USD,267.65,272.2,266.35,269.1,3170.11,855762.55,268.825,0.36665746
1534222800,14-08-2018 05:00,ETH/USD,269.1,270.01,266,266,1052.02,282434.05,267.7775,0.365228747
